start_node_id,end_node_id,label
3330,746,1
3330,3470,1
251,854,1
251,1309,1
251,3772,1
251,1470,1
1220,743,1
1220,1909,1
1220,2911,1
1715,3851,1
3010,561,1
448,1749,1
448,3629,1
3564,3285,1
3564,272,1
3564,1134,1
3564,1035,1
3564,1400,1
3564,2020,1
3564,743,1
3564,2633,1
3564,3854,1
3564,262,1
3564,3250,1
3564,3219,1
3564,2994,1
3564,3426,1
630,1754,1
630,272,1
1601,2106,1
1613,217,1
1175,2060,1
1175,1600,1
1129,3455,1
3400,561,1
3400,416,1
3400,1084,1
3400,22,1
3400,2665,1
3400,2346,1
3400,272,1
3400,331,1
618,1607,1
3052,1213,1
3052,1279,1
3052,2176,1
3052,982,1
3052,1773,1
2519,3295,1
606,1481,1
2840,781,1
2840,1391,1
2840,707,1
2840,217,1
2840,982,1
2840,3626,1
2840,2032,1
2840,1737,1
2840,925,1
2840,98,1
2840,3737,1
2840,3014,1
2840,817,1
2840,3052,1
2840,2346,1
1422,3486,1
1756,2246,1
1865,481,1
1865,185,1
1865,2731,1
2817,1955,1
2817,148,1
2817,707,1
2007,10,1
2007,781,1
3498,561,1
3498,568,1
3498,3348,1
3498,3014,1
3498,2665,1
3498,560,1
3498,3400,1
3498,2817,1
96,2524,1
96,1320,1
96,66,1
96,1669,1
1784,707,1
1784,3348,1
1784,3056,1
1784,2914,1
1784,109,1
1784,1084,1
1784,1608,1
1784,2540,1
1784,783,1
1784,3163,1
1784,291,1
1784,358,1
1784,814,1
1784,3014,1
1784,517,1
1784,1909,1
3348,2450,1
3348,506,1
3348,616,1
315,1607,1
315,196,1
315,743,1
315,1220,1
315,3737,1
3030,1081,1
3030,949,1
2002,2786,1
2002,930,1
2002,217,1
2002,3083,1
2341,3725,1
2341,2346,1
2341,2177,1
2341,642,1
2341,1636,1
2341,2536,1
2341,3416,1
1789,1315,1
272,433,1
272,3839,1
272,3624,1
272,2770,1
272,666,1
272,2308,1
272,58,1
272,12,1
272,2082,1
272,3400,1
3238,724,1
3238,1391,1
3238,3965,1
2073,319,1
3158,217,1
1300,1300,1
2402,657,1
2402,642,1
2402,2741,1
399,2055,1
743,1600,1
743,783,1
743,3219,1
743,2788,1
743,2784,1
743,1220,1
743,315,1
743,2994,1
743,3015,1
743,2448,1
743,182,1
743,1547,1
743,1231,1
743,2011,1
743,830,1
743,3548,1
743,704,1
743,2108,1
743,3626,1
743,3889,1
743,2247,1
743,192,1
743,537,1
743,2346,1
743,2176,1
743,3285,1
743,3854,1
743,3666,1
743,1853,1
743,3654,1
743,982,1
743,2579,1
743,227,1
743,2418,1
743,3370,1
743,594,1
743,10,1
743,2289,1
743,2508,1
1685,2074,1
2177,1866,1
2177,2341,1
2020,217,1
2020,707,1
2020,469,1
2020,2112,1
2020,2360,1
2020,3564,1
2020,738,1
2020,630,1
2346,480,1
2346,743,1
2346,3504,1
2346,3654,1
2346,2842,1
2346,2088,1
2346,694,1
2346,781,1
2346,2914,1
2346,3014,1
2346,3173,1
2346,3854,1
2346,2525,1
2346,417,1
1866,2391,1
1866,3564,1
1866,2613,1
1866,441,1
1866,3543,1
1866,217,1
1866,3285,1
1866,2559,1
346,2664,1
433,840,1
1336,2914,1
942,3935,1
721,94,1
721,743,1
721,296,1
721,3564,1
200,3737,1
1736,3676,1
2108,756,1
2108,3400,1
2108,560,1
2108,3626,1
2108,2978,1
2108,951,1
2108,3737,1
2108,743,1
2108,15,1
2108,561,1
