start_node_name,start_node_id,end_node_name,end_node_id,relationship_type,label
宁德时代,743,长城汽车,1220,cooperate,1
宁德时代,743,国轩高科,315,cooperate,1
宁德时代,743,德方纳米,2994,cooperate,1
宁德时代,743,富临精工,3015,cooperate,1
宁德时代,743,天华超净,2448,cooperate,1
宁德时代,743,永兴材料,182,cooperate,1
宁德时代,743,阳光电源,1547,cooperate,1
宁德时代,743,宇通客车,1231,cooperate,1
宁德时代,743,永福股份,2011,cooperate,1
宁德时代,743,共达电声,830,cooperate,1
宁德时代,743,三一重工,3548,cooperate,1
宁德时代,743,天齐锂业,704,cooperate,1
宁德时代,743,中国能建,2108,cooperate,1
宁德时代,743,智慧能源,3626,cooperate,1
宁德时代,743,上海临港,3889,cooperate,1
宁德时代,743,西藏矿业,2247,cooperate,1
宁德时代,743,恩捷股份,192,cooperate,1
宁德时代,743,中国人保,537,cooperate,1
宁德时代,743,中国船舶,2346,cooperate,1
宁德时代,743,东方财富,2176,cooperate,1
宁德时代,743,国泰君安,3285,cooperate,1
宁德时代,743,中金公司,3854,cooperate,1
宁德时代,743,上汽集团,3666,cooperate,1
宁德时代,743,广汽集团,1853,cooperate,1
宁德时代,743,中国动力,3654,cooperate,1
宁德时代,743,天合光能,982,cooperate,1
宁德时代,743,容百科技,2579,cooperate,1
宁德时代,743,嘉元科技,227,cooperate,1
宁德时代,743,欣旺达,2418,cooperate,1
宁德时代,743,国投资本,3370,cooperate,1
宁德时代,743,三峡能源,594,cooperate,1
宁德时代,743,紫金矿业,10,cooperate,1
宁德时代,743,东方精工,2289,cooperate,1
宁德时代,743,广电运通,2508,cooperate,1
山东路桥,1685,山东高速,2074,cooperate,1
新希望,2177,兴业银行,1866,cooperate,1
新希望,2177,中集集团,2341,cooperate,1
中信建投,2020,中国电信,217,cooperate,1
中信建投,2020,中国联通,707,cooperate,1
中信建投,2020,小康股份,469,cooperate,1
中信建投,2020,华西证券,2112,cooperate,1
中信建投,2020,奇安信,2360,cooperate,1
中信建投,2020,中信证券,3564,cooperate,1
中信建投,2020,歌尔股份,738,cooperate,1
中信建投,2020,招商证券,630,cooperate,1
中国船舶,2346,中船防务,480,cooperate,1
中国船舶,2346,宁德时代,743,cooperate,1
中国船舶,2346,招商轮船,3504,cooperate,1
中国船舶,2346,中国动力,3654,cooperate,1
中国船舶,2346,中国重工,2842,cooperate,1
中国船舶,2346,中国广核,2088,cooperate,1
中国船舶,2346,外高桥,694,cooperate,1
中国船舶,2346,中国石油,781,cooperate,1
中国船舶,2346,农业银行,2914,cooperate,1
中国船舶,2346,建设银行,3014,cooperate,1
中国船舶,2346,七一二,3173,cooperate,1
中国船舶,2346,中金公司,3854,cooperate,1
中国船舶,2346,浦发银行,2525,cooperate,1
中国船舶,2346,海兰信,417,cooperate,1
兴业银行,1866,上海银行,2391,cooperate,1
